"mes","dia","dolar_compra","dolar_venta","real_compra","real_venta","peso_compra","peso_venta","yen_compra","yen_venta","euro_compra","euro_venta","libra_compra","libra_venta"
"marzo","25","4.334,47","4.339,81","2.302,92","2.379,02","962,22","994,68","50,83","52,49","5.538,08","5.717,27","6.647,21","6.862,98"
"marzo","26","4.338,71","4.346,85","2.308,84","2.386,15","963,16","996,30","51,22","52,92","5.569,17","5.753,06","6.665,50","6.885,41"
"marzo","27","4.296,71","4.306,90","2.302,66","2.381,48","953,49","986,49","50,34","52,03","5.533,18","5.719,99","6.625,15","6.847,59"
"marzo","28","4.302,74","4.306,10","2.303,47","2.377,48","954,09","985,83","50,11","51,71","5.563,90","5.741,75","6.668,67","6.881,15"
"marzo","29","4.311,32","4.320,15","2.297,29","2.374,23","955,66","988,59","50,34","52,03","5.562,87","5.747,53","6.637,64","6.857,81"
"marzo","30","4.324,03","4.330,69","2.284,86","2.361,08","957,71","990,32","50,99","52,68","5.562,49","5.743,79","6.661,40","6.878,87"
"marzo","31","4.324,03","4.330,69","2.284,86","2.361,08","957,71","990,32","50,99","52,68","5.562,49","5.743,79","6.661,40","6.878,87"
"abril","01","4.324,03","4.330,69","2.284,86","2.361,08","957,71","990,32","50,99","52,68","5.562,49","5.743,79","6.661,40","6.878,87"
"abril","02","4.330,03","4.336,51","2.302,70","2.378,12","959,04","991,66","50,98","52,65","5.602,13","5.784,47","6.721,05","6.940,15"
"abril","03","4.285,03","4.294,34","2.272,17","2.348,56","948,97","981,34","50,33","52,02","5.535,60","5.720,92","6.659,51","6.882,54"
"abril","04","4.280,67","4.288,72","2.268,99","2.345,49","948,98","980,62","50,58","52,24","5.527,48","5.710,43","6.641,11","6.861,52"
"abril","05","4.280,67","4.288,72","2.268,99","2.345,49","948,98","980,62","50,58","52,24","5.527,48","5.710,43","6.641,11","6.861,52"
"abril","06","4.280,67","4.288,72","2.268,99","2.345,49","948,98","980,62","50,58","52,24","5.527,48","5.710,43","6.641,11","6.861,52"
"abril","07","4.280,67","4.288,72","2.268,99","2.345,49","948,98","980,62","50,58","52,24","5.527,48","5.710,43","6.641,11","6.861,52"
"abril","08","4.280,67","4.288,72","2.268,99","2.345,49","948,98","980,62","50,58","52,24","5.527,48","5.710,43","6.641,11","6.861,52"
"abril","09","4.287,22","4.296,92","2.270,72","2.348,17","948,48","981,48","50,43","52,11","5.457,34","5.639,71","6.592,63","6.813,20"
"abril","10","4.297,15","4.303,57","2.282,71","2.358,90","949,59","981,88","51,23","52,90","5.445,38","5.622,61","6.611,24","6.826,75"
"abril","11","4.306,22","4.309,85","2.286,03","2.360,53","952,57","983,42","51,55","53,21","5.472,75","5.647,63","6.627,70","6.840,16"
"abril","12","4.293,65","4.303,46","2.278,23","2.355,99","949,36","982,41","51,41","53,15","5.463,02","5.647,00","6.621,68","6.843,79"
"abril","13","4.278,70","4.287,84","2.271,79","2.347,70","944,44","977,17","51,24","52,96","5.467,66","5.649,66","6.617,72","6.838,68"
"abril","14","4.278,70","4.287,84","2.271,79","2.347,70","944,44","977,17","51,24","52,96","5.467,66","5.649,66","6.617,72","6.838,68"
"abril","15","4.278,70","4.287,84","2.271,79","2.347,70","944,44","977,17","51,24","52,96","5.467,66","5.649,66","6.617,72","6.838,68"
"abril","16","4.294,93","4.301,96","2.263,81","2.340,18","947,48","979,83","51,46","53,16","5.445,49","5.623,52","6.604,07","6.820,33"
"abril","17","4.307,56","4.314,25","2.275,90","2.351,86","949,73","982,07","51,96","53,66","5.462,33","5.640,88","6.622,24","6.839,81"
"abril","18","4.306,16","4.310,09","2.265,42","2.339,52","949,96","981,69","51,71","53,38","5.491,89","5.668,63","6.656,43","6.870,28"
"abril","19","4.292,69","4.299,28","2.226,93","2.301,17","946,56","978,67","51,24","52,92","5.460,55","5.638,51","6.675,58","6.893,47"
"abril","20","4.300,59","4.308,02","2.208,70","2.282,64","947,01","978,87","51,13","52,84","5.480,61","5.660,31","6.699,13","6.921,26"
"abril","21","4.300,59","4.308,02","2.208,70","2.282,64","947,01","978,87","51,13","52,84","5.480,61","5.660,31","6.699,13","6.921,26"
"abril","22","4.300,59","4.308,02","2.208,70","2.282,64","947,01","978,87","51,13","52,84","5.480,61","5.660,31","6.699,13","6.921,26"
"abril","23","4.321,24","4.328,18","2.230,53","2.305,04","950,69","983,23","51,36","53,05","5.536,27","5.718,82","6.757,28","6.979,62"
"abril","24","4.311,47","4.318,72","2.219,81","2.294,14","948,31","980,44","51,54","53,24","5.496,57","5.676,96","6.744,93","6.966,96"
"abril","25","4.314,76","4.319,47","2.229,79","2.302,00","948,51","979,47","51,54","53,20","5.520,43","5.699,11","6.749,66","6.968,17"
"abril","26","4.319,22","4.329,33","2.223,33","2.299,29","948,74","981,71","51,41","53,13","5.528,65","5.715,15","6.762,92","6.990,14"
"abril","27","4.333,85","4.340,08","2.224,37","2.298,28","951,74","983,92","52,03","53,74","5.562,93","5.744,53","6.804,33","7.026,16"
"abril","28","4.333,85","4.340,08","2.224,37","2.298,28","951,74","983,92","52,03","53,74","5.562,93","5.744,53","6.804,33","7.026,16"
"abril","29","4.333,85","4.340,08","2.224,37","2.298,28","951,74","983,92","52,03","53,74","5.562,93","5.744,53","6.804,33","7.026,16"
"abril","30","4.341,58","4.352,15","2.233,54","2.309,08","953,44","986,43","52,33","54,10","5.579,17","5.766,16","6.838,78","7.069,20"
"mayo","01","4.341,58","4.352,15","2.233,54","2.309,08","953,44","986,43","52,33","54,10","5.579,17","5.766,16","6.838,78","7.069,20"
"mayo","02","4.318,60","4.326,49","2.209,53","2.283,83","948,71","981,17","52,51","54,24","5.540,43","5.723,51","6.797,56","7.021,03"
"mayo","03","4.275,41","4.285,21","2.150,68","2.224,00","937,31","969,94","51,72","53,44","5.459,72","5.642,34","6.714,65","6.939,47"
"mayo","04","4.285,45","4.287,22","2.156,06","2.224,35","938,46","969,30","51,73","53,37","5.467,14","5.639,41","6.731,66","6.944,44"
"mayo","05","4.285,45","4.287,22","2.156,06","2.224,35","938,46","969,30","51,73","53,37","5.467,14","5.639,41","6.731,66","6.944,44"
"mayo","06","4.285,45","4.287,22","2.156,06","2.224,35","938,46","969,30","51,73","53,37","5.467,14","5.639,41","6.731,66","6.944,44"
"mayo","07","4.297,49","4.300,30","2.163,24","2.233,34","941,09","972,26","52,19","53,86","5.455,82","5.628,66","6.729,31","6.943,69"
"mayo","08","4.273,40","4.279,35","2.149,78","2.221,08","935,29","966,98","51,90","53,61","5.411,14","5.586,69","6.711,49","6.930,41"
"mayo","09","4.301,40","4.306,71","2.153,03","2.224,08","939,83","971,51","52,28","53,98","5.431,99","5.608,20","6.741,70","6.960,07"
"mayo","10","4.318,64","4.324,47","2.138,16","2.208,16","943,06","974,97","52,65","54,38","5.416,90","5.594,13","6.744,42","6.964,56"
"mayo","11","4.344,55","4.352,89","2.154,95","2.226,54","948,72","981,38","52,71","54,47","5.460,36","5.640,47","6.810,17","7.036,01"
"mayo","12","4.344,55","4.352,89","2.154,95","2.226,54","948,72","981,38","52,71","54,47","5.460,36","5.640,47","6.810,17","7.036,01"
"mayo","13","4.344,55","4.352,89","2.154,95","2.226,54","948,72","981,38","52,71","54,47","5.460,36","5.640,47","6.810,17","7.036,01"
"mayo","14","4.344,55","4.352,89","2.154,95","2.226,54","948,72","981,38","52,71","54,47","5.460,36","5.640,47","6.810,17","7.036,01"
"mayo","15","4.344,55","4.352,89","2.154,95","2.226,54","948,72","981,38","52,71","54,47","5.460,36","5.640,47","6.810,17","7.036,01"
"mayo","16","4.322,95","4.325,14","2.152,71","2.220,98","944,00","975,12","52,50","54,17","5.426,08","5.597,60","6.749,89","6.963,04"
"mayo","17","4.312,12","4.326,46","2.089,18","2.161,82","940,79","974,65","52,04","53,86","5.320,88","5.504,12","6.656,02","6.886,86"
"mayo","18","4.334,41","4.346,30","2.106,82","2.179,47","943,85","977,14","52,79","54,59","5.345,87","5.526,76","6.646,70","6.871,50"
"mayo","19","4.334,41","4.346,30","2.106,82","2.179,47","943,85","977,14","52,79","54,59","5.345,87","5.526,76","6.646,70","6.871,50"
"mayo","20","4.334,41","4.346,30","2.106,82","2.179,47","943,85","977,14","52,79","54,59","5.345,87","5.526,76","6.646,70","6.871,50"
"mayo","21","4.354,24","4.370,55","2.102,35","2.177,11","947,64","982,04","53,28","55,16","5.373,70","5.561,09","6.678,38","6.911,59"
"mayo","22","4.398,90","4.424,75","2.096,05","2.174,32","955,75","992,54","53,78","55,80","5.450,15","5.652,62","6.745,59","6.997,30"
"mayo","23","4.535,84","4.562,26","2.152,53","2.233,01","984,40","1.022,24","55,04","57,10","5.614,10","5.821,90","6.950,75","7.208,37"
"mayo","24","4.519,26","4.567,56","2.091,05","2.180,22","980,80","1.023,43","55,31","57,63","5.514,23","5.747,82","6.884,57","7.174,27"
"mayo","25","4.361,63","4.405,16","2.081,36","2.167,79","946,06","986,49","53,26","55,46","5.324,01","5.544,33","6.633,44","6.908,61"
"mayo","26","4.361,63","4.405,16","2.081,36","2.167,79","946,06","986,49","53,26","55,46","5.324,01","5.544,33","6.633,44","6.908,61"
"mayo","27","4.361,63","4.405,16","2.081,36","2.167,79","946,06","986,49","53,26","55,46","5.324,01","5.544,33","6.633,44","6.908,61"
"mayo","28","4.442,48","4.474,32","2.156,87","2.241,31","964,14","1002,42","54,11","56,20","5.391,25","5.599,16","6.741,32","7.000,52"
"mayo","29","4.443,89","4.455,53","2.176,62","2.250,38","964,33","997,32","54,25","56,08","5.402,44","5.584,56","6.760,27","6.988,50"
"mayo","30","4.461,95","4.475,24","2.168,38","2.242,67","967,28","1.001,62","54,45","56,32","5.421,37","5.606,58","6.777,36","7.010,02"
"mayo","31","4.481,00","4.504,90","2.165,17","2.245,15","971,41","1.008,26","55,03","57,07","5.388,01","5.586,53","6.748,05","6.994,31"
"junio","01","4.506,44","4.529,51","2.160,24","2.239,01","977,47","1.013,54","55,82","57,86","5.398,93","5.595,30","6.723,85","6.969,10"
"junio","02","4.506,44","4.529,51","2.160,24","2.239,01","977,47","1.013,54","55,82","57,86","5.398,93","5.595,30","6.723,85","6.969,10"
"junio","03","4.506,44","4.529,51","2.160,24","2.239,01","977,47","1.013,54","55,82","57,86","5.398,93","5.595,30","6.723,85","6.969,10"
"junio","04","4.494,19","4.501,65","2.139,36","2.211,46","974,27","1.007,53","55,77","57,60","5.396,89","5.573,49","6.695,11","6.915,43"
"junio","05","4.512,45","4.521,40","2.144,47","2.215,72","978,23","1.011,95","55,91","57,80","5.470,47","5.651,30","6.732,38","6.955,27"
"junio","06","4.538,92","4.552,38","2.176,46","2.250,98","983,42","1.018,20","55,97","57,88","5.486,27","5.673,63","6.769,67","7.000,19"
"junio","07","4.510,28","4.521,96","2.167,44","2.241,92","973,95","1.008,13","55,32","57,18","5.474,84","5.659,23","6.765,46","6.993,66"
"junio","08","4.486,63","4.500,25","2.140,69","2.214,15","969,27","1.003,85","54,67","56,56","5.467,89","5.655,01","6.767,41","7.000,14"
"junio","09","4.486,63","4.500,25","2.140,69","2.214,15","969,27","1.003,85","54,67","56,56","5.467,89","5.655,01","6.767,41","7.000,14"
"junio","10","4.486,63","4.500,25","2.140,69","2.214,15","969,27","1.003,85","54,67","56,56","5.467,89","5.655,01","6.767,41","7.000,14"
